num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
7179	8064.186371	33.146295	11.366850	-0.487888	3.892739
7181	8066.265383	32.258685	9.206997	-0.441555	4.080045
7183	8068.347835	33.725231	11.331380	-0.538092	3.881670
7185	8070.430420	33.417020	11.271384	-0.478588	3.882831
7187	8072.513695	33.840368	10.700482	-0.477475	3.917890
7189	8074.594511	34.173145	11.968381	-0.461107	4.317654
7191	8076.677339	35.028025	11.431101	-0.539485	3.916641
7193	8078.760149	32.916879	11.833513	-0.467217	3.971488
7195	8080.840153	34.364496	11.124989	-0.522654	4.253388
7197	8082.922105	34.156365	11.208281	-0.521234	4.107037
7199	8085.006902	33.804938	11.843563	-0.454040	3.862460
7201	8087.088941	34.278563	11.144879	-0.521206	4.157778
7203	8089.168454	33.963770	11.066977	-0.515985	4.222484
7205	8091.250099	34.256447	11.009237	-0.517876	3.897410
7207	8093.333220	34.036356	10.799774	-0.528408	3.670654
7209	8095.416752	34.379893	11.073016	-0.530084	4.276134
7211	8097.496959	34.437611	10.771606	-0.524619	3.886898
7213	8099.582768	33.756776	11.428903	-0.452650	4.057806
7215	8101.666136	32.925229	10.934336	-0.453270	3.969168
7217	8103.746115	32.908132	7.855603	-0.434788	4.182915
7219	8105.828189	34.251309	10.565779	-0.528507	3.933423
7221	8107.912633	33.506180	10.855413	-0.451693	4.110846
7223	8109.993449	32.413846	9.392205	-0.417956	3.921181
7225	8112.077348	34.115950	10.486476	-0.524888	3.923670
7227	8114.158314	33.841176	11.244131	-0.442440	4.008306
7229	8116.238598	34.204373	10.436053	-0.522426	4.051757
7231	8118.320763	34.202223	10.518890	-0.516572	4.066737
7233	8120.403304	34.442780	10.396302	-0.517300	4.261030
7235	8122.483989	34.131526	10.473270	-0.516339	3.917139
7237	8124.565048	34.798605	10.586221	-0.520985	4.200449
7239	8126.647852	33.968192	10.856230	-0.506083	4.052564
7241	8128.728017	33.819342	10.574425	-0.504425	4.164376
7243	8130.811181	34.510075	10.361370	-0.501377	4.123253
7245	8132.892601	34.372491	10.368285	-0.500738	4.199833
7247	8134.976647	34.436190	10.635461	-0.500471	4.352842
7249	8137.057979	34.442320	10.292990	-0.491722	4.083570
7251	8139.141487	34.079411	10.964884	-0.425358	4.197019
7253	8141.221932	34.516991	10.249165	-0.488062	4.269447
7255	8143.303559	34.927389	10.125950	-0.485920	4.262601
7257	8145.385932	34.461449	10.194888	-0.483290	4.158291
7259	8147.469006	35.353778	11.354975	-0.523584	4.144679
7261	8149.551026	34.641733	10.090510	-0.488265	4.013528
7263	8151.633699	34.058368	10.027612	-0.481386	4.146427
7265	8153.715068	33.991057	10.233731	-0.489926	4.199797
7267	8155.796708	34.685947	10.422377	-0.504991	4.497674
7269	8157.880303	34.217767	9.935353	-0.489006	4.352694
7271	8159.963709	34.878846	10.599390	-0.500386	4.161364
7273	8162.045624	35.300015	10.081621	-0.500623	4.434091
7275	8164.127855	35.118357	9.877545	-0.494985	4.140534
7277	8166.210364	34.871556	9.984249	-0.494773	4.221810
7279	8168.292433	34.675314	9.707608	-0.488424	4.160057
7281	8170.375553	35.204459	9.808831	-0.489732	4.052131
7283	8172.454938	34.890418	9.733183	-0.497188	3.987459
7285	8174.538286	34.765500	9.517180	-0.490020	3.958336
7287	8176.618904	34.076818	9.795831	-0.405348	4.233037
7289	8178.701294	34.316075	10.189021	-0.404198	4.252852
7291	8180.783675	34.257391	9.658910	-0.479458	4.514099
7293	8182.864749	33.585026	9.680351	-0.412166	4.230025
7295	8184.947165	32.886049	7.008905	-0.419156	4.458843
7297	8187.029948	34.642991	10.206169	-0.488902	4.370682
7299	8189.111264	34.926191	9.615413	-0.467574	4.301150
7301	8191.192796	34.624180	9.719069	-0.473260	4.577854
7303	8193.273582	34.461393	9.607281	-0.462943	4.293597
7305	8195.357357	34.824513	9.429032	-0.459860	4.562082
7307	8197.440108	35.223600	9.930457	-0.468199	4.434934
7309	8199.521707	34.562598	9.476413	-0.454418	4.476759
7311	8201.603756	35.225685	9.434522	-0.449720	4.363488
7313	8203.683715	34.657493	9.396980	-0.455086	4.556876
7315	8205.766371	35.145591	9.907980	-0.468003	4.351369
7317	8207.847146	34.995300	10.132874	-0.466655	4.229719
7319	8209.932009	32.806602	9.227368	-0.399407	4.357584
7321	8212.012423	33.772560	5.662166	-0.434187	4.566367
7323	8214.095105	34.329394	9.729306	-0.387701	4.436339
7325	8216.176600	34.542099	9.081062	-0.458114	4.426392
7327	8218.260518	34.763559	9.099739	-0.459927	4.317141
