time (s)	coil I (A)	last det (V)	int current (uC)
4051.863317	3.263980	104.394531	-28.125000
4051.865318	3.266181	35.927986	0.439584
4052.915352	3.264361	265.625000	-53.417969
4052.917352	3.266364	35.930008	0.485761
4053.949380	3.265510	104.687500	-28.613281
4053.951383	3.266463	35.931087	0.440877
4054.995446	3.265910	266.503906	-56.933594
4054.997448	3.266483	35.931313	0.482414
4056.029997	3.266525	106.738281	-23.339844
4056.032000	3.266876	35.935635	0.423309
4057.076561	3.266710	265.625000	-52.929687
4057.078565	3.266990	35.936893	0.465387
4058.108556	3.265123	109.375000	-16.699219
4058.110559	3.266422	35.930645	0.430003
4059.156626	3.265887	266.992187	-58.789062
4059.158626	3.266706	35.933765	0.474051
4060.195636	3.266115	104.882812	-29.785156
4060.197637	3.266583	35.932419	0.647338
4061.239692	3.265552	267.187500	-56.054687
4061.241692	3.266561	35.932167	0.473478
4062.272237	3.264792	108.398437	-21.777344
4062.274239	3.266574	35.932312	0.442280
4063.324286	3.266114	267.382812	-53.125000
4063.326289	3.266624	35.932861	0.471537
4064.354828	3.265950	108.496094	-20.898437
4064.356829	3.266622	35.932842	0.443287
4065.406876	3.263646	267.382812	-48.144531
4065.408879	3.266199	267.382812	-48.144531
4065.412876	3.266784	35.934624	0.487023
4066.434894	3.264506	110.644531	-15.136719
4066.436895	3.266639	35.933029	0.439066
4067.490927	3.266812	268.652344	-50.195312
4067.492927	3.266961	35.936573	0.478069
4068.520979	3.266647	109.082031	-22.167969
4068.522982	3.266746	35.934208	0.448044
4069.569498	3.266399	269.531250	-53.027344
4069.571500	3.266704	35.933739	0.907435
4070.597579	3.265753	112.109375	-17.773437
4070.599579	3.266732	35.934055	0.448099
4071.651639	3.265046	269.042969	-52.343750
4071.653641	3.266410	35.930515	0.480051
4072.686202	3.266672	110.351562	-25.292969
4072.688205	3.266683	35.933517	0.458846
4073.736766	3.265821	268.066406	-51.074219
4073.740767	3.266654	35.933197	0.479350
4074.766803	3.265656	107.617187	-35.058594
4074.768804	3.266457	35.931026	0.457010
4075.816896	3.265512	266.503906	-51.757812
4075.818897	3.266735	35.934082	0.482053
4076.844965	3.264899	107.910156	-37.207031
4076.846964	3.266393	35.930328	0.452883
4077.895019	3.265830	266.992187	-56.640625
4077.897022	3.266556	35.932117	0.476785
4078.929966	3.266405	106.347656	-42.480469
4078.931969	3.266857	35.935432	0.662268
4079.980017	3.266089	266.210937	-55.468750
4079.982020	3.266596	35.932560	0.473374
4081.012561	3.266670	104.589844	-48.925781
4081.014563	3.266745	35.934200	0.691452
4082.062594	3.266414	265.039062	-52.734375
4082.064597	3.266951	35.936459	0.475440
4083.094640	3.266756	111.035156	-33.105469
4083.096639	3.266891	35.935795	0.456181
4084.141536	3.265625	266.601562	-54.980469
