crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	2.738633	4197	4942645760.000000
281474976710655.000000	2.912134	4198	4943694336.000000
281474976710655.000000	2.872396	4199	4944728064.000000
281474976710655.000000	2.839973	4200	4945773056.000000
281474976710655.000000	2.819596	4201	4946811392.000000
281474976710655.000000	2.767596	4202	4947855360.000000
281474976710655.000000	2.744990	4203	4948890624.000000
281474976710655.000000	2.893208	4204	4949940224.000000
281474976710655.000000	2.815352	4205	4950970880.000000
281474976710655.000000	2.839819	4206	4952019968.000000
281474976710655.000000	2.886908	4207	4953056768.000000
281474976710655.000000	2.832674	4208	4954104320.000000
281474976710655.000000	2.834596	4209	4955132416.000000
281474976710655.000000	2.756592	4210	4956185600.000000
281474976710655.000000	2.781089	4211	4957218816.000000
281474976710655.000000	2.769204	4212	4958268416.000000
281474976710655.000000	2.775921	4213	4959295488.000000
281474976710655.000000	3.019054	4214	4960350720.000000
281474976710655.000000	2.997460	4215	4961382912.000000
281474976710655.000000	2.842213	4216	4962430464.000000
281474976710655.000000	2.838132	4217	4963463168.000000
281474976710655.000000	2.785662	4218	4964516352.000000
281474976710655.000000	2.854873	4219	4965543424.000000
281474976710655.000000	2.699566	4220	4966588416.000000
281474976710655.000000	2.863665	4221	4967632896.000000
281474976710655.000000	2.971882	4222	4968674304.000000
281474976710655.000000	2.867463	4223	4969709056.000000
281474976710655.000000	2.823727	4224	4970757632.000000
281474976710655.000000	2.923242	4225	4971787776.000000
281474976710655.000000	2.956494	4226	4972836864.000000
281474976710655.000000	2.944446	4227	4973872640.000000
281474976710655.000000	2.786431	4228	4974919168.000000
281474976710655.000000	2.833110	4229	4975953408.000000
281474976710655.000000	2.799375	4230	4977003008.000000
281474976710655.000000	2.844136	4231	4978036224.000000
281474976710655.000000	2.911024	4232	4979082240.000000
281474976710655.000000	2.948097	4233	4980120576.000000
281474976710655.000000	2.871149	4234	4981168128.000000
281474976710655.000000	2.860740	4235	4982199808.000000
281474976710655.000000	2.735996	4236	4983243264.000000
281474976710655.000000	2.828015	4237	4984284672.000000
281474976710655.000000	2.837500	4238	4985329152.000000
281474976710655.000000	2.863672	4239	4986361344.000000
281474976710655.000000	2.889670	4240	4987409920.000000
281474976710655.000000	2.930097	4241	4988445696.000000
281474976710655.000000	2.744254	4242	4989491200.000000
281474976710655.000000	2.900618	4243	4990527488.000000
281474976710655.000000	2.836761	4244	4991574528.000000
281474976710655.000000	2.871213	4245	4992609792.000000
281474976710655.000000	2.854974	4246	4993665024.000000
281474976710655.000000	2.961615	4247	4994686464.000000
281474976710655.000000	2.764121	4248	4995745280.000000
281474976710655.000000	2.860961	4249	4996764160.000000
281474976710655.000000	2.780197	4250	4997827584.000000
281474976710655.000000	2.901764	4251	4998845440.000000
281474976710655.000000	2.805985	4252	4999908864.000000
281474976710655.000000	2.915284	4253	5000931328.000000
281474976710655.000000	2.850648	4254	5001989120.000000
281474976710655.000000	2.768431	4255	5003004416.000000
281474976710655.000000	2.929906	4256	5004083712.000000
281474976710655.000000	2.882468	4257	5005085696.000000
281474976710655.000000	2.944118	4258	5006160384.000000
281474976710655.000000	2.892238	4259	5007170560.000000
281474976710655.000000	2.812267	4260	5008241152.000000
281474976710655.000000	2.807061	4261	5009253888.000000
281474976710655.000000	2.717926	4262	5010317312.000000
281474976710655.000000	2.838513	4263	5011339776.000000
281474976710655.000000	2.882626	4264	5012400640.000000
281474976710655.000000	2.973819	4265	5013422080.000000
281474976710655.000000	2.889925	4266	5014482944.000000
281474976710655.000000	2.881206	4267	5015501824.000000
281474976710655.000000	2.868951	4268	5016560640.000000
281474976710655.000000	2.792109	4269	5017584640.000000
281474976710655.000000	2.829404	4270	5018641920.000000
281474976710655.000000	2.839806	4271	5019663872.000000
281474976710655.000000	2.864560	4272	5020728320.000000
281474976710655.000000	2.893713	4273	5021747200.000000
281474976710655.000000	2.803339	4274	5022813184.000000
281474976710655.000000	2.860366	4275	5023823360.000000
281474976710655.000000	2.851571	4276	5024888320.000000
281474976710655.000000	2.846256	4277	5025907200.000000
281474976710655.000000	3.001438	4278	5026973696.000000
281474976710655.000000	2.976449	4279	5027988992.000000
281474976710655.000000	2.904687	4280	5029054464.000000
281474976710655.000000	2.941133	4281	5030075392.000000
281474976710655.000000	2.862508	4282	5031134720.000000
281474976710655.000000	2.905650	4283	5032158720.000000
281474976710655.000000	2.907629	4284	5033216512.000000
281474976710655.000000	2.885463	4285	5034241536.000000
281474976710655.000000	2.807631	4286	5035294720.000000
281474976710655.000000	2.929261	4287	5036321280.000000
281474976710655.000000	2.889689	4288	5037378048.000000
281474976710655.000000	2.899707	4289	5038402560.000000
281474976710655.000000	2.846549	4290	5039460352.000000
