time (s)	det(V)
402866.255107	0.568616	
402866.259105	0.562752	
402866.261107	0.552308	
402866.263107	0.543215	
402866.267107	0.540793	
402866.269107	0.536029	
402866.271107	0.535510	
402866.273107	0.528996	
402866.289049	0.507767	
402866.291052	0.494095	
402866.295050	0.514220	
402866.297053	0.465135	
402866.299051	0.508420	
402866.301051	0.474744	
402866.303051	0.471495	
402866.305051	0.462360	
402866.309055	0.459372	
402866.313055	0.449485	
402866.315055	0.414312	
402866.317057	0.422626	
402866.319056	0.421414	
402866.321056	0.422800	
402866.325053	0.405345	
402866.327057	0.396778	
402866.329055	0.380941	
402866.333055	0.381985	
402866.335055	0.372013	
402866.337056	0.367319	
402866.339055	0.364254	
402866.341055	0.355266	
402866.343056	0.348817	
402866.347055	0.345958	
402866.351054	0.332469	
402866.353056	0.326412	
402866.355056	0.321698	
402866.357056	0.317971	
402866.359057	0.316581	
402866.363055	0.313264	
402866.365058	0.302981	
402866.367057	0.300338	
402866.371057	0.293489	
402866.373058	0.294730	
402866.375058	0.290537	
402866.377058	0.286625	
402866.379057	0.279384	
402866.381058	0.273624	
402866.385057	0.270602	
402866.389059	0.268034	
402866.391060	0.264435	
402866.393060	0.257570	
402866.395059	0.253137	
402866.397061	0.248608	
402866.401058	0.246479	
402866.403060	0.235465	
402866.405059	0.235665	
402866.409059	0.229187	
402866.411061	0.223719	
402866.413060	0.215265	
402866.415060	0.214861	
402866.417061	0.210076	
402866.419060	0.203096	
402866.423059	0.202638	
402866.427059	0.188373	
402866.429061	0.181574	
402866.431059	0.176336	
402866.433060	0.171563	
402866.435059	0.166648	
402866.439059	0.166334	
402866.441060	0.151219	
402866.443059	0.147197	
402866.447060	0.140773	
402866.449060	0.132621	
402866.451059	0.130170	
402866.453060	0.122291	
402866.455060	0.124377	
402866.457060	0.115013	
402866.461061	0.107437	
402866.465061	0.096524	
402866.467062	0.093309	
402866.469062	0.088185	
402866.471061	0.090115	
402866.473061	0.084808	
402866.477061	0.080105	
402866.479062	0.067885	
402866.481061	0.065657	
402866.485061	0.064512	
402866.487062	0.063812	
402866.489062	0.061576	
402866.491061	0.057267	
402866.493061	0.055441	
402866.495061	0.051828	
402866.499065	0.044756	
402866.503066	0.045401	
402866.505066	0.046845	
402866.509064	0.040314	
402866.511066	0.039957	
402866.515064	0.032360	
402866.517065	0.029994	
402866.519065	0.028223	
402866.523065	0.030850	
402866.525066	0.027921	
402866.527066	0.025337	
402866.529065	0.021129	
402866.531066	0.018558	
402866.533065	0.016808	
402866.537065	0.012054	
402866.541065	0.008948	
402866.543065	0.006860	
402866.545066	0.000777	
402866.547064	-0.002014	
402866.549064	-0.005030	
402866.553063	-0.006886	
402866.555065	-0.010534	
402866.557064	-0.019204	
402866.561064	-0.022005	
402866.563065	-0.030433	
402866.565064	-0.033293	
402866.567067	-0.036862	
402866.569065	-0.041081	
402866.571064	-0.042621	
402866.575073	-0.050000	
402866.579073	-0.055345	
402866.581073	-0.065117	
402866.583074	-0.066596	
402866.585073	-0.072863	
402866.587073	-0.073020	
402866.591071	-0.076937	
402866.593072	-0.087768	
402866.595072	-0.091954	
402866.599073	-0.098481	
402866.601073	-0.101459	
402866.603073	-0.104070	
402866.605073	-0.103661	
402866.607073	-0.108411	
402866.609072	-0.112067	
402866.611074	-0.116921	
402866.615074	-0.124066	
402866.617075	-0.128453	
402866.619076	-0.127554	
402866.621075	-0.126358	
402866.623075	-0.129898	
402866.625074	-0.132942	
402866.627075	-0.132871	
402866.631073	-0.140697	
402866.635073	-0.144759	
402866.637075	-0.144762	
402866.639077	-0.146829	
402866.641081	-0.149554	
402866.643079	-0.151775	
402866.645079	-0.153574	
402866.647080	-0.157784	
402866.649079	-0.160653	
402866.653078	-0.162903	
402866.655079	-0.163418	
402866.657079	-0.166574	
402866.659080	-0.166877	
402866.661081	-0.167892	
402866.663079	-0.176676	
402866.665080	-0.175471	
402866.667079	-0.177184	
402866.669079	-0.181505	
402866.673084	-0.182417	
402866.677084	-0.190647	
402866.679085	-0.198529	
402866.681084	-0.199712	
402866.683085	-0.202579	
402866.685086	-0.207189	
402866.689083	-0.209905	
402866.691085	-0.220471	
402866.693084	-0.225093	
402866.697085	-0.230644	
402866.699086	-0.234850	
402866.701085	-0.240433	
402866.703085	-0.247000	
402866.705085	-0.245764	
402866.707085	-0.254350	
402866.711083	-0.261813	
402866.715084	-0.275290	
402866.717085	-0.279625	
402866.719085	-0.283760	
402866.721085	-0.285312	
402866.723085	-0.291221	
402866.727083	-0.296857	
402866.729085	-0.311297	
402866.731085	-0.314007	
402866.735086	-0.318088	
402866.737088	-0.320499	
402866.739085	-0.324294	
402866.741085	-0.329802	
402866.743085	-0.332487	
402866.745083	-0.337156	
402866.747085	-0.343936	
402866.751085	-0.346601	
402866.753085	-0.350111	
402866.755086	-0.345019	
402866.757085	-0.349606	
402866.759085	-0.353151	
402866.761085	-0.354551	
402866.763085	-0.358893	
402866.765085	-0.360651	
402866.767085	-0.363077	
402866.769091	-0.364777	
402866.773087	-0.361812	
402866.775087	-0.363250	
402866.777087	-0.364132	
402866.779088	-0.367784	
402866.781087	-0.368955	
402866.783089	-0.369195	
402866.785087	-0.370564	
402866.789085	-0.369823	
402866.793085	-0.374047	
402866.795087	-0.375943	
402866.797087	-0.377321	
402866.799087	-0.377997	
402866.801087	-0.378540	
402866.803087	-0.380118	
402866.805087	-0.376902	
402866.807087	-0.384453	
402866.811087	-0.386427	
402866.813087	-0.392692	
402866.815087	-0.390660	
402866.817087	-0.390795	
402866.819088	-0.394093	
402866.821087	-0.391947	
402866.823087	-0.396780	
402866.825087	-0.398116	
402866.827085	-0.400416	
402866.831087	-0.407759	
402866.835091	-0.409441	
402866.837087	-0.409094	
402866.839087	-0.412222	
402866.841087	-0.415358	
402866.843087	-0.418342	
402866.847085	-0.420554	
402866.849088	-0.425358	
402866.851087	-0.424875	
402866.855087	-0.427237	
402866.857087	-0.424173	
402866.859088	-0.424612	
402866.863085	-0.427521	
402866.865087	-0.426150	
402866.869089	-0.425727	
402866.873091	-0.418595	
