time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
403309.332081	81.887840	0.035937	2.278666	180
403310.484216	48.025890	0.035938	1.336356	181
403311.429797	70.706177	0.035936	1.967535	182
403312.543909	50.263187	0.035936	1.398678	183
403313.494776	81.621605	0.035937	2.271237	184
403314.641318	47.211720	0.035936	1.313785	185
403315.593966	77.328514	0.035934	2.151933	186
403316.738660	49.345970	0.035937	1.373134	187
403317.692763	68.567505	0.035937	1.908013	188
403318.806966	51.459396	0.035934	1.432041	189
403319.757425	81.767044	0.035935	2.275391	190
403320.898528	55.072826	0.035939	1.532411	191
403321.862423	74.456619	0.035940	2.071680	192
403323.004069	52.498520	0.035937	1.460833	193
403323.918955	81.284683	0.035937	2.261871	194
403325.085881	44.746086	0.035941	1.244994	195
403326.012166	80.840408	0.035936	2.249563	196
403327.205136	39.881439	0.035935	1.109825	197
403328.074841	83.667351	0.035939	2.328021	198
403329.260048	48.917336	0.035935	1.361287	199
403330.184271	75.253632	0.035936	2.094090	200
403331.353276	41.350639	0.035937	1.150658	201
403332.238157	92.068306	0.035936	2.562005	202
403333.450338	38.275982	0.035936	1.065116	203
403334.372955	72.890533	0.035935	2.028390	204
403335.514530	43.429367	0.035933	1.208636	205
403336.436012	89.414764	0.035934	2.488314	206
403337.616091	40.087917	0.035935	1.115561	207
403338.533641	82.835594	0.035939	2.304912	208
403339.675638	45.661083	0.035935	1.270661	209
403340.626377	80.919426	0.035935	2.251830	210
403341.742191	51.407578	0.035939	1.430418	211
403342.727658	76.050316	0.035939	2.116091	212
403343.837558	52.070824	0.035934	1.449074	213
403344.787935	84.985970	0.035940	2.364663	214
403345.939488	50.478722	0.035937	1.404629	215
403346.885388	77.674286	0.035940	2.161216	216
403348.004846	144.666641	0.035936	4.025693	217
403348.984711	72.283264	0.035937	2.011385	218
403350.096541	55.851177	0.035937	1.554143	219
403351.046635	82.644142	0.035933	2.299954	220
403352.197596	51.342262	0.035936	1.428705	221
403353.143828	75.476868	0.035937	2.100250	222
403354.258123	56.169163	0.035936	1.563014	223
403355.277767	62.049759	0.035936	1.726678	224
403356.183085	61.416882	0.035934	1.709145	225
403357.311170	83.138474	0.035938	2.313401	226
403358.453365	48.260365	0.035940	1.342812	227
403359.401844	83.533768	0.035937	2.324447	228
