num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
3699	404879.483461	35.449062	-14.743461	2.791355	3.962601
3701	404881.582029	36.205496	-14.549280	2.761415	2.742957
3703	404883.663305	37.585051	-13.337229	2.759520	4.706896
3705	404885.747187	36.191295	-14.463930	2.777956	4.036228
3707	404887.835854	36.162625	-12.536328	2.727837	3.937205
3709	404889.915125	37.323297	-14.187971	2.778186	4.793406
3711	404891.996107	29.980632	11.041464	2.674004	2.935420
3713	404894.084242	38.296722	-14.002403	2.777412	5.432032
3715	404896.176109	29.969361	11.468974	2.666452	3.809031
3717	404898.261705	30.103360	11.578358	2.659858	4.617966
3719	404900.362326	37.767823	-13.319218	2.776034	4.613857
3721	404902.459555	37.044256	-13.836144	2.756281	4.723050
3723	404904.550307	37.975036	-14.243295	2.693034	4.441220
3725	404906.632055	38.374609	-13.740402	2.691899	3.683787
3727	404908.703912	37.867312	-12.956340	2.717060	4.523914
3729	404910.778956	37.576317	-12.993772	2.772888	4.853031
3731	404912.855183	31.056889	10.457952	2.665474	5.344066
3733	404914.946897	37.248100	-11.536854	2.734428	5.634711
3735	404917.032884	39.300119	-10.349531	2.680100	4.813147
3737	404919.123317	30.828334	10.816339	2.647014	6.003495
3739	404921.215028	39.879178	-12.802535	2.747121	5.414740
3741	404923.303889	39.101301	-12.882209	2.740731	4.807775
3743	404925.391983	39.986593	-8.777215	2.672317	5.282818
3745	404927.475294	31.417950	10.486752	2.638177	4.808975
3747	404929.554915	40.028187	-11.290098	2.712375	5.725032
3749	404931.636097	39.587547	-11.818695	2.687714	4.792158
3751	404933.718323	38.534798	-10.081035	2.677484	5.565196
3753	404935.808673	32.156655	9.400155	2.626868	5.746678
3755	404937.900317	40.446499	-12.046084	2.705552	4.715140
3757	404939.998898	32.325751	9.253112	2.616970	5.499107
3759	404942.096588	31.988638	9.219208	2.615803	5.605164
3761	404944.182396	32.497693	9.474775	2.628356	5.962210
3763	404946.262907	41.526558	-11.805873	2.724122	5.596954
3765	404948.346592	42.374048	-10.248184	2.695627	5.354959
3767	404950.421044	40.325244	-11.372632	2.730138	6.233056
3769	404952.500352	32.521698	9.556465	2.611123	5.264291
3771	404954.584885	41.942626	-11.820194	2.702628	6.369173
3773	404956.670046	42.452345	-11.884572	2.692785	5.934153
3775	404958.751051	32.272994	9.012093	2.610807	6.831609
3777	404960.835832	40.396741	-10.023629	2.669707	6.433423
3779	404962.921488	41.664452	-11.045244	2.681031	6.135006
3781	404965.005781	41.138715	-9.197026	2.648023	6.023131
3783	404967.093011	33.387011	8.614872	2.616254	6.307251
3785	404969.179561	33.139518	8.601755	2.615644	5.982419
3787	404971.263513	33.094463	8.527986	2.614120	6.233084
3789	404973.350018	43.863568	-11.288731	2.679037	6.888468
3791	404975.437270	32.943075	8.574000	2.613985	6.865535
3793	404977.523074	42.328464	-10.687571	2.677921	7.034910
3795	404979.608438	42.419570	-9.071615	2.661531	6.735010
3797	404981.700721	42.635726	-8.893653	2.664497	6.764289
3799	404983.784499	42.907276	-10.390733	2.673377	6.562599
3801	404985.882323	41.726543	-5.778370	2.621464	6.308543
3803	404987.967729	43.612314	-8.526657	2.662921	7.821929
3805	404990.062766	41.124605	-4.432461	2.599989	7.256458
3807	404992.149950	34.633786	8.033101	2.580247	7.346335
3809	404994.236457	34.446780	8.182816	2.584213	7.495015
3811	404996.318075	42.909327	-10.238651	2.657701	6.726591
3813	404998.397193	43.420710	-9.234029	2.622773	6.150526
3815	405000.472207	42.364037	-9.479074	2.646134	6.686317
3817	405002.550200	34.403821	7.299715	2.589440	6.524513
3819	405004.632921	43.388705	-7.644444	2.635370	7.282426
3821	405006.721522	43.954408	-8.025269	2.641808	6.413083
3823	405008.805282	44.700963	-7.671148	2.625947	7.531215
3825	405010.892227	34.470175	7.737327	2.581567	7.917081
3827	405012.980186	44.228632	-9.672497	2.647333	7.668558
3829	405015.063178	44.437921	-6.641946	2.627128	7.107590
3831	405017.147505	42.394423	-7.857755	2.617223	7.689467
3833	405019.233509	44.602942	-8.284651	2.605376	6.702654
3835	405021.315167	42.661339	-6.693870	2.585156	7.252682
3837	405023.405661	35.428293	6.705656	2.569519	7.798810
3839	405025.501470	45.320974	-9.459897	2.634080	8.053482
3841	405027.594340	43.907017	-8.946156	2.644126	7.242089
3843	405029.688373	44.587674	-8.743425	2.643239	6.807608
3845	405031.772320	44.796485	-8.917528	2.662934	8.385214
3847	405033.854943	35.660533	6.779090	2.563919	8.423586
3849	405035.940520	46.826514	-9.765256	2.636600	7.659565
3851	405038.022556	35.684004	7.308723	2.566689	8.669190
3853	405040.104250	46.659719	-6.849368	2.598984	8.115143
3855	405042.189177	45.726225	-8.472726	2.652425	7.567260
3857	405044.273087	35.815060	6.843911	2.556429	8.752828
3859	405046.359258	35.335842	6.863908	2.548728	7.755183
3861	405048.445825	35.770670	6.901489	2.555330	8.086882
3863	405050.531415	46.283838	-6.723960	2.600758	8.320204
3865	405052.621024	43.496012	-2.185242	2.564886	7.061874
3867	405054.707983	47.949736	-9.128538	2.618046	8.521016
3869	405056.795678	47.397942	-8.848724	2.622767	8.725520
3871	405058.880334	45.999375	-6.761298	2.592275	8.127020
3873	405060.966214	46.015191	-7.480220	2.636506	9.055326
3875	405063.046531	44.112104	-7.389852	2.572141	9.236060
3877	405065.123177	46.300450	-7.431609	2.628927	8.968266
3879	405067.201756	36.484357	5.613120	2.551270	8.122480
3881	405069.281831	48.189887	-8.133030	2.620543	8.184001
